sender,sender_type,sender_id,timestamp,meta,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Page,html.Page,0,2026-07-02T08:29:22.864Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1440,""screen_height"":932,""scroll_width"":1339,""scroll_height"":793,""window_innerWidth"":1339,""window_innerHeight"":841,""devicePixelRatio"":2}",9224.500000047683,response,Yes,keypress(y),9391.300000071526,9378.700000047684,137.53,197.5,154.2,9337.6,{}
root,flow.Sequence,,2026-07-02T08:29:22.866Z,,9224.500000047683,completion,,,9392.900000095367,9378.700000047684,137.53,197.30000007152557,154.2,9337.6,
